geo_join_id,geo_place_name,geo_type_name,start_date,time_period,pollutant_name,measure_info,data_value,year_from_period,BORO_NM_IMPUTED,AQI_composite
303,East Harlem,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,5.167893,2005,,
303,East Harlem,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,108.882319,2005,,
303,East Harlem,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,4.2,2005,,
303,East Harlem,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,4.2,2005,,
303,East Harlem,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,102.541428,2005,,
111,East Harlem (CD11),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,4.867533,2005,,
111,East Harlem (CD11),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,104.81738,2005,,
111,East Harlem (CD11),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,110.830342,2005,,
204,East New York,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,48.814507,2005,,
204,East New York,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,2.3,2005,,
204,East New York,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,6.3905,2005,,
204,East New York,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,2.8,2005,,
204,East New York,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,55.475244,2005,,
305,East New York and Starrett City (CD5),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,55.294168,2005,,
305,East New York and Starrett City (CD5),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,6.216057,2005,,
305,East New York and Starrett City (CD5),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,48.796681,2005,,
404,Elmhurst and Corona (CD4),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,72.947517,2005,,
404,Elmhurst and Corona (CD4),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,78.03768,2005,,
